Employee ID,Name,Date of Birth,Hire Date,Age,Years at Company,Role,Department,Email,Phone,Address,Gender,Salary,Previous Company,Degree Earned,Skills,Promoted
1010,Dawn Li,1997-02-16,2021-07-25,26,2,Commercial art gallery manager,Engineering,blackburngary@example.org,+1-505-828-3364x963,"783 Allen Crescent, East Chris, GU 34382",Male,109415.31,Smith-Erickson,B.Sc.,"offer, range, song, behind",0
1011,Jennifer Santiago,1965-01-12,1986-09-23,58,37,Barrister,Engineering,holderkyle@example.org,389.835.4778x90458,"PSC 5458, Box 1997, APO AE 31484",Male,165993.19,Monroe-Wilson,B.A.,"score, fine, security, experience, avoid",0
1012,William Wagner,1978-03-11,1995-06-16,45,28,Mudlogger,Sales,seth01@example.org,749.698.5657x605,"270 Perry Village, Richardsberg, CA 53295",Male,78195.49,"Saunders, Cross and Jackson",B.Sc.,"western, another, usually",1
1013,Michael Peters,1993-12-31,2006-08-10,30,17,Computer games developer,Finance,chowell@example.org,(248)423-9684x21917,"584 Richard Rapid, Port Adam, GA 55766",Female,192700.51,Rojas Ltd,M.Sc.,"away, because, into, minute, stay, poor",1
1014,Tiffany Silva,1969-04-15,1985-11-17,54,38,Academic librarian,HR,johnsondaniel@example.com,236.756.2746x5752,"96813 Daniels Forge, Collinsville, ND 05017",Male,84911.83,"Cummings, Mayo and Wilson",B.A.,"exist, become, Congress, whole",1
1015,Jeffrey Rodriguez,1991-03-27,1996-04-25,32,27,Water quality scientist,Engineering,chavezjohn@example.org,753-745-1071,"880 Jason Inlet, Hendersonhaven, AZ 90939",Male,99176.69,"Anderson, Miller and Jones",M.A.,"according, close, miss, daughter, civil",1
1016,Stephanie Moran,1980-02-26,1986-06-21,43,37,Charity fundraiser,Product Management,stephanieherman@example.org,(557)869-2962x523,"6727 Johnson Mountain Apt. 592, Traceystad, ND 59976",Male,88896.46,Smith-Lewis,M.Sc.,"station, game, wide, story",1
1017,William King,1975-07-26,2000-05-27,48,23,Training and development officer,Product Management,caguilar@example.org,+1-817-403-2401x573,"12771 Carter Courts Suite 473, East Davidport, VI 09900",Male,160620.3,"Edwards, Long and Lopez",B.Sc.,"us, lot, represent",0
1018,Alexander Miller,2001-01-21,2007-08-11,22,16,Air broker,Sales,reneemiller@example.com,466-221-4559,"86854 Sullivan Viaduct Apt. 465, New Audrey, RI 78754",Female,50666.03,Miller Inc,B.Sc.,"himself, public, sort, seek, low",1
1019,Clinton Quinn,1977-08-03,2016-10-10,46,7,Licensed conveyancer,HR,mitchelljonathan@example.net,674.307.1899,"1993 Richard Pines Suite 162, West Shawn, IN 07913",Female,152323.19,"Hardy, Cisneros and Collins",M.A.,"modern, blood, letter",1
1020,Kenneth Hall,1970-02-20,2017-07-22,53,6,Fisheries officer,Marketing,bartonjermaine@example.org,7373399147,"USCGC Russell, FPO AE 84057",Female,94116.47,Singh Inc,M.A.,"public, ask, make, listen, safe, herself",1
1021,Matthew Sanders,1968-01-31,2010-05-24,55,13,Drilling engineer,HR,sarah45@example.com,808.849.0660x3124,"77668 Steven Extensions, Ashleyfort, DC 25937",Male,180610.09,"Shaw, Garcia and Chapman",Ph.D.,"whom, now, manage, carry",1
1022,Donald Howell,1997-09-05,1997-08-12,26,26,Training and development officer,Marketing,iyoung@example.com,572-972-5486x074,"478 Tyler Crossing Suite 742, Arianaland, AK 13696",Female,68516.58,Solis Ltd,M.Sc.,"dinner, care, ten, will, medical, organization",1
1023,Kelsey Mcdonald,1965-03-09,1991-12-01,58,32,Logistics and distribution manager,Support,robertbrewer@example.com,959-761-9731,"060 Hernandez Unions Apt. 454, Walterberg, CA 34633",Female,64995.01,"Carroll, Lewis and Jones",M.A.,"specific, southern, Republican",1
1024,Nancy Moon,1996-03-19,2002-07-23,27,21,Printmaker,Finance,kellypalmer@example.com,794-280-3186x00029,"041 Dana Heights, Port Pamela, CO 00904",Female,71425.56,"Hansen, Hernandez and Frey",Ph.D.,"career, rate, market",1
1025,Mary Love,1997-05-03,1990-04-15,26,33,Furniture designer,Support,joseph06@example.net,+1-423-484-3352x98192,"14700 Garcia View Apt. 065, Blakeshire, MN 34055",Female,173165.05,Webster-Padilla,M.A.,"imagine, behind, you, study",0
1026,Eric Mosley,1978-04-05,1999-08-21,45,24,Music tutor,Finance,rossbarbara@example.org,227-423-2535,"23420 Thomas Mission, Davidland, TN 36213",Male,136724.25,"Moore, Cook and Cain",M.Sc.,"may, billion, travel, response, stand, act",1
1027,Angela Blanchard,1969-11-01,2015-12-12,54,8,Oceanographer,Finance,paulacastro@example.com,925.745.5026x58128,"2020 Brian Summit Apt. 372, North Melissa, DC 52289",Male,170209.46,Wong Ltd,Ph.D.,"main, guess, account, throw",0
1028,Zachary Hughes,1977-06-11,2003-11-26,46,20,"Development worker, international aid",HR,osbornetara@example.org,001-511-848-9148,"7515 Matthew Alley, North Daniel, WA 06777",Male,187080.94,Davis-Anderson,B.A.,"research, structure, show, culture, race",1
1029,Henry Elliott,1971-02-09,2019-09-17,52,4,Risk analyst,Finance,chad42@example.com,4349715556,"8292 Martha Road Apt. 975, Ronaldport, NC 97639",Female,53803.14,Martin-Jones,B.A.,"himself, forget, anything",1
1030,Angela Marshall,1986-05-31,2006-02-27,37,17,Retail buyer,Finance,wonglisa@example.org,312.963.2605,"51847 Sherry Station, Jennifermouth, CO 70669",Female,69199.4,Lopez-Curry,M.Sc.,"always, which, toward, discussion",1
1031,Scott Durham,1995-08-26,2013-12-03,28,10,Music therapist,Sales,nsteele@example.com,876.702.5820x2731,"Unit 7692 Box 7036, DPO AE 59981",Female,176008.76,Deleon-Baker,B.Sc.,"treat, agree, with, attention",1
1032,Jennifer Huynh,2000-08-07,2009-09-12,23,14,Amenity horticulturist,Product Management,jwong@example.org,+1-823-629-1867x610,"1246 Olivia Stravenue Suite 210, Davisland, FL 75896",Female,187747.41,"Blake, Stafford and Cooley",B.Sc.,"also, billion, also",0
1033,Stephanie Hays,1962-09-11,1992-12-29,61,31,Field seismologist,Marketing,xelliott@example.org,935.715.7878x78318,"87700 Stevenson Circle, Ashleymouth, NY 55892",Male,55946.43,Abbott-Palmer,M.A.,"beyond, difficult, Republican",1
1034,Valerie Stephens,1969-04-14,2010-03-20,54,13,Animal nutritionist,Support,marypierce@example.com,638-615-8936x3215,"77553 Alvarado Radial, New Yolanda, TN 03643",Male,153494.98,"Ward, Davis and Flores",M.A.,"daughter, alone, class",1
1035,Ralph Johnson,1983-11-23,1991-01-25,40,32,"Therapist, occupational",Marketing,yhickman@example.com,261-389-4967x7240,"67512 Sanders Underpass, Brandonmouth, WA 88741",Female,197106.0,Mcdonald Ltd,M.A.,"nor, include, politics, section",1
1036,Thomas Manning,1995-05-25,2015-01-20,28,8,Banker,Product Management,wdiaz@example.net,001-520-499-7796,"USNV Moore, FPO AP 66703",Male,92143.07,"Cox, Howe and Douglas",B.A.,"recognize, pretty, push, whatever",1
1037,Desiree Wood,1988-10-12,2002-03-06,35,21,Haematologist,Finance,opennington@example.org,+1-564-397-6281x7403,"316 Robertson Shore Suite 366, Port Timothyville, ME 95644",Female,175735.09,Walker Inc,Ph.D.,"glass, owner, continue, improve, raise, north",1
1038,Duane Molina,1964-04-03,1994-08-22,59,29,"Conservator, furniture",Engineering,jonesjames@example.com,+1-951-790-1937x0796,"311 Andrew Courts, Davidhaven, IL 65327",Female,111968.0,Wise-Garcia,M.Sc.,"difference, four, student, past, certainly",0
1039,Sheila Henry,1968-07-22,1991-03-25,55,32,"Editor, magazine features",Finance,dbarrett@example.org,(630)413-4533x7701,"234 Hammond Drive, Jefferyville, AS 49714",Female,178202.83,Poole and Sons,B.A.,"service, beautiful, forget, success, health, could",1
1040,William Baker,1993-10-19,2014-04-25,30,9,Research scientist (life sciences),Sales,sandrajones@example.com,(736)631-8421,"237 Erica Club Apt. 701, Stephensmouth, FM 97182",Male,58247.53,Yoder Group,M.A.,"short, name, realize, more",1
1041,Teresa Melton,1997-04-24,1993-04-20,26,30,"Copywriter, advertising",Support,bonnieharris@example.com,+1-947-712-4674x2399,"874 Robert Estates, Johnsonville, WV 32845",Female,138844.91,Smith Ltd,M.Sc.,"experience, yourself, area",1
1042,Ashlee Barnett,1964-09-01,2011-02-15,59,12,Banker,Finance,cervantesjessica@example.net,(522)380-0384x726,"43771 Rhonda Summit Suite 184, Whiteport, MD 99596",Female,118455.31,Bird Inc,M.A.,"enough, rate, source",0
1043,Joseph Short,1985-02-22,2006-10-31,38,17,Merchant navy officer,Marketing,tanyaclarke@example.com,+1-423-774-7137x99161,"0245 Cody Villages, Lake Michael, AK 15872",Female,196408.32,Collins Inc,B.A.,"so, southern, across",1
1044,Harold Santiago,1984-06-13,1996-02-24,39,27,"Production designer, theatre/television/film",Sales,josemitchell@example.org,+1-847-649-8044x8790,"817 Sean Walk Apt. 762, Chelseyborough, ID 49540",Female,134217.53,Solomon Inc,M.Sc.,"west, large, several, everyone",0
1045,Kyle Porter,1974-09-02,1994-07-17,49,29,Exercise physiologist,Product Management,griley@example.com,+1-334-260-9218,"1639 Atkinson Causeway, East Henryville, PW 02274",Male,69053.78,Hill-Sanchez,Ph.D.,"knowledge, upon, activity, top, ask",1
1046,Andrew Molina,1998-05-08,1986-11-20,25,37,Magazine journalist,Engineering,ndurham@example.com,+1-622-877-3567x11775,"39394 Montgomery Mews Suite 082, West Yvonneport, OH 74578",Female,114868.46,Bennett LLC,B.A.,"ok, seem, account, new, fight, talk",1
1047,Brandon Miller,1976-08-03,1993-06-21,47,30,Commercial horticulturist,HR,barbara03@example.org,759-642-7559,"Unit 9849 Box 4975, DPO AP 55520",Male,76875.87,"Glenn, Fischer and Cunningham",B.A.,"yourself, difficult, its, area",1
1048,Sherri Burgess,1978-03-21,2014-07-28,45,9,"Buyer, retail",Finance,daniellewalker@example.com,564.802.8477x3186,"8902 Johnson Street Suite 339, West Debbieton, KY 59235",Male,117901.95,Rhodes LLC,B.Sc.,"quality, series, argue",1
1049,Matthew Stone,1985-10-28,2018-09-08,38,5,Waste management officer,Support,harristhomas@example.net,(305)764-8076,"0800 Connor Springs, Sandraview, WY 39954",Male,132828.7,"Franco, Harrison and Brown",M.Sc.,"throughout, best, collection, quite, walk, artist",0
1050,Alan Rivera,1974-04-29,2022-11-30,49,1,Associate Professor,HR,suzannesmith@example.net,8899232909,"57337 Jones Coves Apt. 718, West Wandamouth, VI 22650",Male,101180.82,Barron Ltd,Ph.D.,"capital, top, wife, behavior",1
1051,Michelle Rivera,1991-11-10,1995-10-27,32,28,Architect,Product Management,javiertaylor@example.net,200-843-4911,"8196 Richards Shoal Suite 135, Deanhaven, LA 92769",Male,150010.98,Carpenter-Archer,B.Sc.,"eye, suffer, middle, next",1
1052,Craig Decker,1968-03-20,1996-04-20,55,27,Retail merchandiser,Marketing,carlossalazar@example.com,+1-799-979-1953x7691,"PSC 6908, Box 4567, APO AA 31927",Male,131529.83,"Gilbert, Ochoa and Taylor",Ph.D.,"maintain, standard, watch, body",1
1053,Steve Fisher,1990-08-18,2017-09-02,33,6,Advertising account planner,Marketing,welchabigail@example.com,+1-865-425-4684,"7101 Lane Track Suite 739, Port Craigfort, MN 50688",Male,188999.9,Scott Group,B.A.,"sell, candidate, audience, stand, score",1
1054,Edward Page,1964-02-25,2002-06-16,59,21,"Engineer, civil (contracting)",Finance,lonnie77@example.net,7455938801,"339 Bradley Summit, Lake Juliaburgh, ID 39080",Female,91536.42,Willis-Webster,M.Sc.,"successful, beyond, its, spring, notice",1
1055,Andrew Wood,1985-03-13,2021-02-24,38,2,Tax inspector,Marketing,sharon16@example.org,(970)476-1130x6521,"19434 Elizabeth Prairie Suite 383, Sarabury, MP 37267",Male,120788.37,"Bradley, Alvarez and Mullins",B.A.,"energy, dream, oil, today, different",1
1056,Jeffrey Friedman,1964-01-02,2007-09-05,59,16,"Engineer, civil (consulting)",Engineering,hodgesjill@example.com,576-306-8979,"752 White Mills, North Linda, IN 19282",Male,56476.24,Brown PLC,M.A.,"fly, turn, debate, effort, while, we",1
1057,Charles Vazquez,1992-04-13,2020-03-27,31,3,Chief Technology Officer,HR,wpowell@example.org,+1-882-484-4781x345,"68251 Harvey Course Apt. 067, Andrealand, MI 03357",Male,178130.21,Travis-Hernandez,B.Sc.,"trip, social, actually",0
1058,Maria Giles,1985-05-29,2010-05-31,38,13,Magazine features editor,Finance,lauramiller@example.net,+1-450-284-0510,"296 Natalie Ports, West Richard, SC 66998",Male,168076.56,Armstrong PLC,B.A.,"you, public, indicate, great, participant",1
1059,Jason Buck,1996-12-15,2016-06-12,27,7,Product/process development scientist,Sales,andrew33@example.com,001-294-216-4452,"197 Barbara Heights Apt. 865, Thompsonstad, MA 33262",Female,50207.03,Neal Ltd,B.Sc.,"back, production, future, or, memory",0
1060,Katrina Sanchez,2000-09-19,1987-04-24,23,36,Telecommunications researcher,Product Management,carol17@example.net,+1-721-433-0137x7035,"99399 Friedman Walks Suite 286, Youngchester, IL 24343",Female,140613.01,Reed-Oliver,B.A.,"late, effort, newspaper, down, act",1
1061,Maureen Perry,1996-09-24,2019-07-21,27,4,Magazine journalist,Support,kimlinda@example.com,001-359-490-7395x855,"739 Duke Trail Apt. 340, West Sarahberg, DC 31086",Female,123478.27,Cobb-May,M.Sc.,"employee, center, remain, now, understand",1
1062,Jill Jacobs,2000-09-03,2005-03-31,23,18,"Nurse, learning disability",Engineering,hporter@example.com,519-618-9399,"5456 Swanson Canyon, Port Janeshire, NM 34658",Female,162827.21,Brown and Sons,B.Sc.,"current, apply, prepare, seem, soldier, movement",0
1063,Maria Lee,1993-02-19,2002-11-23,30,21,Manufacturing systems engineer,Engineering,ryanbryant@example.net,6847207997,"658 George Freeway, Lake Katrina, IL 61649",Female,124314.15,Joseph Inc,M.A.,"bank, black, field, others, six",1
1064,Michael Hayes,1973-08-10,2005-03-21,50,18,"Scientist, clinical (histocompatibility and immunogenetics)",Marketing,tamara28@example.org,+1-553-404-2920x79649,"5020 Daniel Drive Suite 072, New Caleb, IN 58124",Male,135694.89,Anderson-Holland,M.A.,"thought, reveal, hard",1
1065,William Wilson,1964-12-02,1996-11-30,59,27,Set designer,Engineering,austinsanders@example.com,489.572.7215x08401,"16382 Jones Lights, Fosterchester, MP 74493",Male,122979.12,Mcdaniel PLC,M.A.,"discussion, yard, election",1
1066,Lisa Taylor,1973-08-29,2019-04-03,50,4,Economist,Product Management,qpoole@example.org,7392748021,"7525 Michael Glens Apt. 950, Cindybury, UT 93735",Male,127608.82,Cochran and Sons,M.A.,"democratic, spend, nearly",1
1067,Jose Walsh,1983-08-07,2008-12-12,40,15,Oceanographer,Support,jross@example.org,001-765-659-7922x495,"40966 Victoria Pass Apt. 576, Marioborough, NM 22558",Male,116099.97,Reilly and Sons,B.Sc.,"light, according, use, author",0
1068,Julie Carter,1997-03-28,2020-07-11,26,3,Ceramics designer,Support,osbornejeremy@example.com,+1-411-477-5233x98733,"9273 Huber Cliff Apt. 490, Lake Paul, LA 46420",Female,168330.45,"Green, Murphy and King",M.Sc.,"pay, spring, voice, yet, music, remember",1
1069,Amy Ayala,1998-07-26,2022-07-11,25,1,Forensic psychologist,Engineering,erik45@example.com,(738)472-2457x9789,"599 Michael Glens, Barnesport, NM 59346",Female,126817.27,Bentley LLC,Ph.D.,"already, create, child, offer, window, certain",0
1070,Gabriella Green,1986-08-10,1992-07-01,37,31,Microbiologist,Marketing,carpenterricardo@example.net,+1-559-619-6697,"8150 Woods Green, Rodriguezport, WA 17856",Female,189554.76,"Lewis, Lopez and Barker",Ph.D.,"give, writer, night, alone",1
1071,Douglas Edwards,1988-12-14,2019-03-03,35,4,Photographer,Marketing,mrich@example.net,001-510-379-0693,"PSC 7569, Box 2192, APO AP 10270",Female,114708.31,Campbell-Moon,B.Sc.,"become, thing, attorney",1
1072,Alan Ford,1963-05-07,2014-01-13,60,9,Fine artist,Finance,humphreyjoshua@example.org,7688182779,"9296 Miller Points Suite 916, Fitzgeraldchester, AR 35514",Female,69566.89,Hull-Gonzalez,M.A.,"particular, whether, crime, lot",1
1073,Chelsey Chandler,1977-03-17,1998-07-16,46,25,Aeronautical engineer,HR,albertharris@example.net,001-994-723-5238,"42531 Joshua Ferry Apt. 485, Jasonfort, NM 88626",Male,169609.32,"Ponce, Camacho and Schultz",B.A.,"usually, bad, system, skin",1
1074,Karen White,1966-02-13,2020-01-28,57,3,Transport planner,Support,alee@example.org,515.477.0063x8339,"786 Munoz Camp, Mckinneyside, PW 61567",Male,145167.92,"Rhodes, Neal and Harris",Ph.D.,"defense, suggest, might, mission, do",1
1075,Mark White,1973-09-28,2014-01-26,50,9,Early years teacher,Product Management,sandersandrea@example.com,+1-691-937-5740x73006,"59172 Katie Mountain Suite 355, West Leslie, HI 33961",Female,84467.89,Sweeney-Levy,B.A.,"itself, surface, bed, take, serve",1
1076,Patrick Johnson,1981-11-19,2005-04-11,42,18,General practice doctor,Engineering,nwright@example.net,(573)482-3897x9843,"44576 Johnson Camp Suite 703, New Matthew, SD 87803",Male,67849.28,"Collins, Matthews and Jackson",M.Sc.,"especially, side, while, president, baby, then",1
1077,Alyssa Callahan,1967-01-14,2007-11-08,56,16,Barista,Product Management,cjones@example.com,758-626-3820x614,"5950 Bryant Rue, Williamsberg, DC 45400",Male,163881.08,Diaz and Sons,Ph.D.,"particularly, common, speech, father, whom, account",1
1078,Megan Calhoun,2000-07-20,1989-09-21,23,34,"Engineer, aeronautical",Support,lscott@example.org,200-659-9893x8437,"686 Alisha Village Suite 020, Jamesmouth, DC 77877",Male,107468.07,Barnes and Sons,Ph.D.,"sell, free, fight, memory",1
1079,Angela Mcbride,1970-07-16,2005-07-16,53,18,Phytotherapist,Product Management,ashley20@example.org,(604)354-7418x5031,"921 Griffin Trace, Eddieland, CO 70368",Male,102799.14,Johnson-Hicks,M.Sc.,"red, son, away",0
1080,James Martinez,1980-12-08,1999-05-19,43,24,Trade mark attorney,Sales,victor76@example.com,5068079299,"65343 Elizabeth Falls, Lewisview, FM 64025",Male,58086.36,Dixon LLC,B.Sc.,"enter, beyond, voice, response, old, produce",1
1081,Pamela Brown,1995-04-02,2013-12-28,28,10,"Engineer, electronics",HR,josephshepherd@example.org,+1-989-710-6105x327,"USS Davis, FPO AE 77957",Male,89124.3,"Ellis, Allison and Jennings",B.A.,"might, generation, anything, sea, father",0
1082,Eugene Wolfe,1980-03-14,2004-08-17,43,19,Biomedical scientist,Marketing,wcox@example.net,+1-571-325-9709x7304,"89758 Jacob Causeway, South Melaniebury, ND 94678",Male,51754.16,"Diaz, Peters and Dickson",Ph.D.,"bad, civil, attack, draw, break",1
1083,Margaret Christensen,1979-02-13,1992-01-05,44,31,Musician,Engineering,prattjustin@example.com,697-311-9272x19474,"832 Caitlin Grove, Markville, UT 32198",Female,178476.35,"Thomas, Sanders and Martinez",Ph.D.,"even, rise, white",0
1084,Sheila Mendoza,1982-03-22,2017-05-13,41,6,Public librarian,Finance,wharrison@example.net,+1-601-646-6139x01476,"743 Dennis Drives, Anthonyberg, MS 73075",Male,73526.62,Harris-Wells,M.Sc.,"value, field, attorney, remain, loss, best",0
1085,Amber Williams,1999-05-22,2009-02-16,24,14,Media planner,HR,erika36@example.org,403.839.5650,"83267 Garza Pines, South Robertbury, NC 48791",Male,154772.53,Patterson-Smith,B.Sc.,"pick, may, result, population, try, civil",1
1086,Donna Perry,1977-05-01,1998-01-29,46,25,"Surveyor, building",HR,wangmichael@example.net,(923)776-1738x273,"USCGC Atkinson, FPO AE 14007",Male,131376.64,Perry LLC,M.Sc.,"husband, week, final, rest, class, move",1
1087,Matthew Wood,1967-11-25,2009-03-16,56,14,Management consultant,Product Management,marshallphillip@example.com,(818)681-0750x89004,"159 David Lock, Burtonfurt, WA 52507",Male,60469.48,"Silva, Castillo and Walker",B.Sc.,"scientist, sense, design, finish, letter, civil",1
1088,Brittney Little,1973-06-28,2015-02-08,50,8,Retail manager,HR,rbennett@example.net,237.406.1478x033,"84511 Logan Prairie, Cassidyberg, CO 00737",Female,122356.08,"Hobbs, Watts and Farley",M.Sc.,"mother, general, plant, great, mission",1
1089,Angela Whitney,1995-01-07,2015-04-26,28,8,Theatre director,Finance,mcbridebrian@example.org,(699)562-9058x5375,"52127 Anthony Village Suite 081, Port Sergio, NE 61658",Male,110471.46,"Young, Barnes and Allen",Ph.D.,"away, network, manage, degree, a, campaign",0
1090,Danielle Brown,1972-09-23,1992-10-21,51,31,"Education officer, community",HR,andrewward@example.com,200.364.1957,"398 Anna Coves Suite 048, Rojasbury, NH 26590",Male,161549.8,"Weber, Taylor and Nguyen",Ph.D.,"could, establish, miss, explain, my",1
1091,Kyle Larson,1995-04-29,2013-09-03,28,10,Illustrator,Sales,karen78@example.com,+1-575-793-9019x94514,"1165 Klein Valley Apt. 413, Howellfort, PR 59724",Male,109971.68,Gonzalez Ltd,M.A.,"compare, easy, up, actually, they",1
1092,Robert Howard,1988-10-11,2003-02-21,35,20,Energy engineer,Product Management,phillipsaimee@example.net,(473)582-0103x6562,"144 Christy Crossing, Yvetteton, MP 19427",Female,150422.01,Martinez-Norton,M.A.,"trip, pull, work",1
1093,John Smith,2001-04-28,2009-04-06,22,14,Social worker,Product Management,wardleroy@example.com,834.902.6153,"27052 Angela Walk Suite 978, Mccannstad, DE 19347",Male,134099.74,"Scott, Hall and Chavez",M.Sc.,"research, clearly, feel, social, else, difference",1
1094,Jon Todd,1967-02-26,1988-03-05,56,35,Broadcast journalist,HR,veronicaharrison@example.org,684.831.7462x10393,"463 Jerry Coves Suite 557, Lake Brandonland, NV 00938",Female,111002.59,"Jones, Anderson and Kelley",B.Sc.,"whatever, somebody, treatment",0
1095,Charles Walker,1964-05-22,1999-01-10,59,24,Forensic psychologist,Product Management,derek53@example.org,(272)433-5971x2629,"83407 Henry Pass Suite 698, Lake Katieview, DC 42742",Female,108295.39,Marquez-Gonzalez,M.A.,"gas, into, no",1
1096,Norma Taylor,1986-02-12,2001-06-07,37,22,Ecologist,HR,dickersonmichael@example.org,587-790-5472x935,"933 Bailey Forks Apt. 539, Cookview, ME 77772",Male,153893.75,Wilson-Hubbard,Ph.D.,"west, suffer, wall, job",0
1097,Angela Jones,1971-07-11,2014-05-25,52,9,Freight forwarder,Finance,ulong@example.net,787.488.6746x037,"PSC 0534, Box 8068, APO AE 57013",Female,121874.42,Krause-Hill,B.A.,"section, economic, hair",1
1098,Rebecca Cooper,1966-05-24,1994-10-04,57,29,Early years teacher,Sales,chanalexis@example.com,422-200-5122x19545,"USCGC Graham, FPO AE 10690",Male,89467.62,Rivera-Anderson,Ph.D.,"really, film, health, free, nearly",1
1099,Erik Hines Jr.,1998-03-04,2007-04-17,25,16,Retail buyer,Engineering,leah45@example.org,001-508-974-4400x532,"83442 Campbell Drive Suite 463, Justinmouth, MA 18888",Female,198097.2,Ray Group,M.Sc.,"station, difference, can",0
